Product Name,Price,Available,No. Units,Store,Time,Link
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,199.99",False,0,Micro Center,2025-02-08 17:26:37.532440,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 Astral LC Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,349.99",False,0,Micro Center,2025-02-08 17:26:37.611446,https://www.microcenter.com/product/690499/asus-nvidia-geforce-rtx-5090-astral-lc-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 Astral LC Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,749.99",False,0,Micro Center,2025-02-08 17:26:37.682453,https://www.microcenter.com/product/690499/asus-nvidia-geforce-rtx-5090-astral-lc-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 XTREME WATERFORCE Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,249.99",False,0,Micro Center,2025-02-08 17:26:37.750457,https://www.microcenter.com/product/690625/gigabyte-nvidia-geforce-rtx-5090-xtreme-waterforce-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 XTREME WATERFORCE Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,559.99",False,0,Micro Center,2025-02-08 17:26:37.823461,https://www.microcenter.com/product/690625/gigabyte-nvidia-geforce-rtx-5090-xtreme-waterforce-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 VANGUARD SOC LAUNCH EDITION Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 17:26:37.890468,https://www.microcenter.com/product/690490/msi-nvidia-geforce-rtx-5090-vanguard-soc-launch-edition-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 VANGUARD SOC LAUNCH EDITION Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,749.99",False,0,Micro Center,2025-02-08 17:26:37.959470,https://www.microcenter.com/product/690490/msi-nvidia-geforce-rtx-5090-vanguard-soc-launch-edition-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Zotac NVIDIA GeForce RTX 5090 AMP Extreme Infinity Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 17:26:38.026476,https://www.microcenter.com/product/690693/zotac-nvidia-geforce-rtx-5090-amp-extreme-infinity-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Zotac NVIDIA GeForce RTX 5090 AMP Extreme Infinity Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,669.99",False,0,Micro Center,2025-02-08 17:26:38.099482,https://www.microcenter.com/product/690693/zotac-nvidia-geforce-rtx-5090-amp-extreme-infinity-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
PNY NVIDIA GeForce RTX 5090 Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,249.99",False,0,Micro Center,2025-02-08 17:26:38.173488,https://www.microcenter.com/product/690483/pny-nvidia-geforce-rtx-5090-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
PNY NVIDIA GeForce RTX 5090 Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,299.99",False,0,Micro Center,2025-02-08 17:26:38.246494,https://www.microcenter.com/product/690483/pny-nvidia-geforce-rtx-5090-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 ROG Astral Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$3,079.99",False,0,Micro Center,2025-02-08 17:47:36.541751,https://www.microcenter.com/product/690032/asus-nvidia-geforce-rtx-5090-rog-astral-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 ROG Astral Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,459.99",False,0,Micro Center,2025-02-08 17:47:36.669760,https://www.microcenter.com/product/690032/asus-nvidia-geforce-rtx-5090-rog-astral-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 SUPRIM SOC Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,549.99",False,0,Micro Center,2025-02-08 17:47:36.791770,https://www.microcenter.com/product/690484/msi-nvidia-geforce-rtx-5090-suprim-soc-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
